ROOM	ROOM	DISTANCE
1	1	0
1	2	3
1	3	4
1	4	5
1	5	6
1	6	7
1	8	8
1	9	9
1	10	9
1	11	10
1	12	11
1	13	12
1	14	13
1	15	14
1	16	15
1	17	1
1	18	2
1	19	3
1	20	4
1	22	5
1	23	6
1	24	7
1	25	8
1	26	9
1	27	10
1	28	11
1	29	12
1	30	13
1	82	14
1	83	2
1	84	3
1	85	4
1	86	5
1	87	6
1	88	7
1	89	10
1	90	11
1	92	12
1	93	13
1	94	14
1	95	15
1	96	8
1	97	9
1	98	10
1	99	11
1	100	12
1	101	8
1	102	9
1	103	10
1	104	11
1	105	12
1	107	7
1	108	8
1	109	9
1	110	10
1	111	11
1	112	7
2	1	3
2	2	0
2	3	3
2	4	4
2	5	5
2	6	6
2	8	7
2	9	8
2	10	8
2	11	9
2	12	10
2	13	11
2	14	12
2	15	13
2	16	14
2	17	2
2	18	1
2	19	2
2	20	3
2	22	4
2	23	5
2	24	6
2	25	7
2	26	8
2	27	9
2	28	10
2	29	11
2	30	12
2	82	13
2	83	3
2	84	2
2	85	3
2	86	4
2	87	5
2	88	6
2	89	9
2	90	10
2	92	11
2	93	12
2	94	13
2	95	14
2	96	7
2	97	8
2	98	9
2	99	10
2	100	11
2	101	7
2	102	8
2	103	9
2	104	10
2	105	11
2	107	6
2	108	7
2	109	8
2	110	9
2	111	10
2	112	6
3	1	4
3	2	3
3	3	0
3	4	3
3	5	4
3	6	5
3	8	6
3	9	7
3	10	7
3	11	8
3	12	9
3	13	10
3	14	11
3	15	12
3	16	13
3	17	3
3	18	2
3	19	1
3	20	2
3	22	3
3	23	4
3	24	5
3	25	6
3	26	7
3	27	8
3	28	9
3	29	10
3	30	11
3	82	12
3	83	4
3	84	3
3	85	2
3	86	3
3	87	4
3	88	5
3	89	8
3	90	9
3	92	10
3	93	11
3	94	12
3	95	13
3	96	6
3	97	7
3	98	8
3	99	9
3	100	10
3	101	6
3	102	7
3	103	8
3	104	9
3	105	10
3	107	5
3	108	6
3	109	7
3	110	8
3	111	9
3	112	5
4	1	5
4	2	4
4	3	3
4	4	0
4	5	3
4	6	4
4	8	5
4	9	6
4	10	6
4	11	7
4	12	8
4	13	9
4	14	10
4	15	11
4	16	12
4	17	4
4	18	3
4	19	2
4	20	1
4	22	2
4	23	3
4	24	4
4	25	5
4	26	6
4	27	7
4	28	8
4	29	9
4	30	10
4	82	11
4	83	5
4	84	4
4	85	3
4	86	2
4	87	3
4	88	4
4	89	7
4	90	8
4	92	9
4	93	10
4	94	11
4	95	12
4	96	5
4	97	6
4	98	7
4	99	8
4	100	9
4	101	5
4	102	6
4	103	7
4	104	8
4	105	9
4	107	4
4	108	5
4	109	6
4	110	7
4	111	8
4	112	4
5	1	6
5	2	5
5	3	4
5	4	3
5	5	0
5	6	3
5	8	4
5	9	5
5	10	5
5	11	6
5	12	7
5	13	8
5	14	9
5	15	10
5	16	11
5	17	5
5	18	4
5	19	3
5	20	2
5	22	1
5	23	2
5	24	3
5	25	4
5	26	5
5	27	6
5	28	7
5	29	8
5	30	9
5	82	10
5	83	6
5	84	5
5	85	4
5	86	3
5	87	2
5	88	3
5	89	6
5	90	7
5	92	8
5	93	9
5	94	10
5	95	11
5	96	4
5	97	5
5	98	6
5	99	7
5	100	8
5	101	4
5	102	5
5	103	6
5	104	7
5	105	8
5	107	3
5	108	4
5	109	5
5	110	6
5	111	7
5	112	3
6	1	7
6	2	6
6	3	5
6	4	4
6	5	3
6	6	0
6	8	3
6	9	4
6	10	4
6	11	5
6	12	6
6	13	7
6	14	8
6	15	9
6	16	10
6	17	6
6	18	5
6	19	4
6	20	3
6	22	2
6	23	1
6	24	2
6	25	3
6	26	4
6	27	5
6	28	6
6	29	7
6	30	8
6	82	9
6	83	7
6	84	6
6	85	5
6	86	4
6	87	2
6	88	2
6	89	5
6	90	6
6	92	7
6	93	8
6	94	9
6	95	10
6	96	4
6	97	5
6	98	6
6	99	7
6	100	8
6	101	4
6	102	5
6	103	6
6	104	7
6	105	8
6	107	3
6	108	4
6	109	5
6	110	6
6	111	7
6	112	3
