ROOM	ROOM	DISTANCE
1	1	0
1	2	3
1	3	4
1	4	5
1	5	6
1	6	7
1	8	8
1	9	9
1	10	9
1	11	10
1	12	11
1	13	12
1	14	13
1	15	14
1	30	15
1	31	1
1	32	2
1	33	3
1	37	4
1	38	5
1	39	6
1	40	7
1	41	8
1	42	9
1	43	10
1	44	11
1	45	12
1	46	13
1	47	14
1	48	2
1	49	3
1	50	4
1	51	5
2	1	3
2	2	0
2	3	3
2	4	4
2	5	5
2	6	6
2	8	7
2	9	8
2	10	8
2	11	9
2	12	10
2	13	11
2	14	12
2	15	13
2	30	14
2	31	2
2	32	1
2	33	2
2	37	3
2	38	4
2	39	5
2	40	6
2	41	7
2	42	8
2	43	9
2	44	10
2	45	11
2	46	12
2	47	13
2	48	3
2	49	2
2	50	3
2	51	4
3	1	4
3	2	3
3	3	0
3	4	3
3	5	4
3	6	5
3	8	6
3	9	7
3	10	7
3	11	8
3	12	9
3	13	10
3	14	11
3	15	12
3	30	13
3	31	3
3	32	2
3	33	1
3	37	2
3	38	3
3	39	4
3	40	5
3	41	6
3	42	7
3	43	8
3	44	9
3	45	10
3	46	11
3	47	12
3	48	4
3	49	3
3	50	2
3	51	3
4	1	5
4	2	4
4	3	3
4	4	0
4	5	3
4	6	4
4	8	5
4	9	6
4	10	6
4	11	7
4	12	8
4	13	9
4	14	10
4	15	11
4	30	12
4	31	4
4	32	3
4	33	2
4	37	1
4	38	2
4	39	3
4	40	4
4	41	5
4	42	6
4	43	7
4	44	8
4	45	9
4	46	10
4	47	11
4	48	5
4	49	4
4	50	3
4	51	2
5	1	6
5	2	5
5	3	4
5	4	3
5	5	0
5	6	3
5	8	4
5	9	5
5	10	5
5	11	6
5	12	7
5	13	8
5	14	9
5	15	10
5	30	11
5	31	5
5	32	4
5	33	3
5	37	2
5	38	1
5	39	2
5	40	3
5	41	4
5	42	5
5	43	6
5	44	7
5	45	8
5	46	9
5	47	10
5	48	6
5	49	5
5	50	4
5	51	3
6	1	7
6	2	6
6	3	5
6	4	4
6	5	3
6	6	0
6	8	3
6	9	4
6	10	4
6	11	5
6	12	6
6	13	7
6	14	8
6	15	9
6	30	10
6	31	6
6	32	5
6	33	4
6	37	3
6	38	2
6	39	1
6	40	2
6	41	3
6	42	4
6	43	5
6	44	6
6	45	7
6	46	8
6	47	9
6	48	7
6	49	6
6	50	5
6	51	4
8	1	8
8	2	7
8	3	6
8	4	5
8	5	4
8	6	3
8	8	0
8	9	3
8	10	3
8	11	4
8	12	5
8	13	6
8	14	7
8	15	8
8	30	9
8	31	7
8	32	6
8	33	5
8	37	4
8	38	3
8	39	2
8	40	1
8	41	2
8	42	3
8	43	4
8	44	5
8	45	6
8	46	7
8	47	8
8	48	8
8	49	7
8	50	6
8	51	5
9	1	9
9	2	8
9	3	7
9	4	6
9	5	5
9	6	4
9	8	3
9	9	0
9	10	2
9	11	3
9	12	4
9	13	5
9	14	6
9	15	7
9	30	8
9	31	8
9	32	7
9	33	6
9	37	5
9	38	4
9	39	3
9	40	2
9	41	1
9	42	2
9	43	3
9	44	4
9	45	5
9	46	6
9	47	7
9	48	9
9	49	8
9	50	7
9	51	6
10	1	9
10	2	8
10	3	7
10	4	6
10	5	5
10	6	4
10	8	3
10	9	2
10	10	0
10	11	2
10	12	3
10	13	4
10	14	5
10	15	6
10	30	7
10	31	8
10	32	7
10	33	6
10	37	5
10	38	4
10	39	3
10	40	2
10	41	1
10	42	1
10	43	2
10	44	3
10	45	4
10	46	5
10	47	6
10	48	9
10	49	8
10	50	7
10	51	6
11	1	10
11	2	9
11	3	8
11	4	7
11	5	6
11	6	5
11	8	4
11	9	3
11	10	2
11	11	0
11	12	2
11	13	3
11	14	4
11	15	5
11	30	6
11	31	9
11	32	8
11	33	7
11	37	6
11	38	5
11	39	4
11	40	3
11	41	2
11	42	1
11	43	1
11	44	2
11	45	3
11	46	4
11	47	5
11	48	10
11	49	9
11	50	8
11	51	7
12	1	11
12	2	10
12	3	9
12	4	8
12	5	7
12	6	6
12	8	5
12	9	4
12	10	3
12	11	2
12	12	0
12	13	3
