ROOM_ID	ROOM_TYPE
1	in-room
2	in-room
3	in-room
4	in-room
5	in-room
6	in-room
8	in-room
9	in-room
10	in-room
11	in-room
12	in-room
13	in-room
14	in-room
15	in-room
30	in-room
31	other
32	in-room
33	dining
37	in-room
38	in-room
39	in-room
40	other
41	other
42	other
43	in-room
44	other
45	in-room
46	in-room
47	other
48	in-room
49	in-room
50	in-room
51	in-room
7	in-room
34	in-room
36	in-room
57	in-room
16	in-room
17	in-room
18	in-room
19	in-room
20	in-room
21	in-room
22	in-room
23	in-room
24	in-room
25	in-room
26	in-room
27	in-room
28	in-room
29	other
35	dining
52	other
53	in-room
54	in-room
55	in-room
56	in-room
