ROOM	ROOM	DISTANCE
17405	17410	2
17405	17405	0
17410	17410	0
17405	17412	3
17412	17412	0
17405	17413	3
17413	17413	0
17405	17414	3
17414	17414	0
17405	17415	3
17415	17415	0
17405	17437	13
17437	17437	0
17405	17438	14
17438	17438	0
17405	17439	14
17439	17439	0
17405	17449	14
17449	17449	0
17405	17475	7
17475	17475	0
17405	17477	7
17477	17477	0
17405	17478	7
17478	17478	0
17405	17479	7
17479	17479	0
17405	17480	6
17480	17480	0
17405	17481	6
17481	17481	0
17405	17502	9
17502	17502	0
17405	17503	10
17503	17503	0
17405	17505	14
17505	17505	0
17405	17508	14
17508	17508	0
17410	17405	2
17410	17412	3
17410	17413	3
17410	17414	3
17410	17415	3
17410	17437	13
17410	17438	14
17410	17439	14
17410	17449	14
17410	17475	7
17410	17477	7
17410	17478	7
17410	17479	7
17410	17480	6
17410	17481	6
17410	17502	9
17410	17503	10
17410	17505	14
17410	17508	14
17412	17405	3
17412	17410	3
17412	17413	2
17412	17414	3
17412	17415	3
17412	17437	13
17412	17438	14
17412	17439	14
17412	17449	14
17412	17475	8
17412	17477	8
17412	17478	8
17412	17479	8
17412	17480	7
17412	17481	7
17412	17502	9
17412	17503	10
17412	17505	14
17412	17508	14
17413	17405	3
17413	17410	3
17413	17412	2
17413	17414	3
17413	17415	3
17413	17437	13
17413	17438	14
17413	17439	14
17413	17449	14
17413	17475	8
17413	17477	8
17413	17478	8
17413	17479	8
17413	17480	7
17413	17481	7
17413	17502	9
17413	17503	10
17413	17505	14
17413	17508	14
17414	17405	3
17414	17410	3
17414	17412	3
17414	17413	3
17414	17415	2
17414	17437	12
17414	17438	13
17414	17439	13
17414	17449	13
17414	17475	8
17414	17477	8
17414	17478	8
17414	17479	8
17414	17480	7
17414	17481	7
17414	17502	8
17414	17503	9
17414	17505	13
17414	17508	13
17415	17405	3
17415	17410	3
17415	17412	3
17415	17413	3
17415	17414	2
17415	17437	12
17415	17438	13
17415	17439	13
17415	17449	13
17415	17475	8
17415	17477	8
17415	17478	8
17415	17479	8
17415	17480	7
17415	17481	7
17415	17502	8
17415	17503	9
17415	17505	13
17415	17508	13
17437	17405	13
17437	17410	13
17437	17412	13
17437	17413	13
17437	17414	12
17437	17415	12
17437	17438	3
17437	17439	3
17437	17449	3
17437	17475	14
17437	17477	14
17437	17478	14
17437	17479	14
17437	17480	13
17437	17481	13
17437	17502	6
17437	17503	5
17437	17505	9
17437	17508	9
17438	17405	14
17438	17410	14
17438	17412	14
17438	17413	14
17438	17414	13
17438	17415	13
17438	17437	3
17438	17439	2
17438	17449	2
17438	17475	15
17438	17477	15
17438	17478	15
17438	17479	15
17438	17480	14
17438	17481	14
17438	17502	7
17438	17503	6
17438	17505	10
17438	17508	10
17439	17405	14
17439	17410	14
17439	17412	14
17439	17413	14
17439	17414	13
17439	17415	13
17439	17437	3
17439	17438	2
17439	17449	2
17439	17475	15
17439	17477	15
17439	17478	15
17439	17479	15
17439	17480	14
17439	17481	14
17439	17502	7
17439	17503	6
17439	17505	10
17439	17508	10
17449	17405	14
17449	17410	14
17449	17412	14
17449	17413	14
17449	17414	13
17449	17415	13
17449	17437	3
17449	17438	2
17449	17439	2
17449	17475	15
17449	17477	15
17449	17478	15
17449	17479	15
17449	17480	14
17449	17481	14
17449	17502	7
17449	17503	6
17449	17505	10
17449	17508	10
17475	17405	7
17475	17410	7
17475	17412	8
17475	17413	8
17475	17414	8
17475	17415	8
17475	17437	14
17475	17438	15
17475	17439	15
17475	17449	15
17475	17477	2
17475	17478	3
17475	17479	3
17475	17480	3
17475	17481	3
17475	17502	10
17475	17503	11
17475	17505	15
17475	17508	15
17477	17405	7
17477	17410	7
17477	17412	8
17477	17413	8
17477	17414	8
17477	17415	8
17477	17437	14
17477	17438	15
17477	17439	15
17477	17449	15
17477	17475	2
17477	17478	3
17477	17479	3
17477	17480	3
17477	17481	3
17477	17502	10
17477	17503	11
17477	17505	15
17477	17508	15
17478	17405	7
17478	17410	7
17478	17412	8
17478	17413	8
17478	17414	8
17478	17415	8
17478	17437	14
17478	17438	15
17478	17439	15
17478	17449	15
17478	17475	3
17478	17477	3
17478	17479	2
17478	17480	3
17478	17481	3
17478	17502	10
17478	17503	11
17478	17505	15
17478	17508	15
17479	17405	7
17479	17410	7
17479	17412	8
17479	17413	8
17479	17414	8
17479	17415	8
17479	17437	14
17479	17438	15
17479	17439	15
17479	17449	15
17479	17475	3
17479	17477	3
17479	17478	2
17479	17480	3
17479	17481	3
17479	17502	10
17479	17503	11
17479	17505	15
17479	17508	15
17480	17405	6
17480	17410	6
17480	17412	7
17480	17413	7
17480	17414	7
17480	17415	7
17480	17437	13
17480	17438	14
17480	17439	14
17480	17449	14
17480	17475	3
17480	17477	3
17480	17478	3
17480	17479	3
17480	17481	2
17480	17502	9
17480	17503	10
17480	17505	14
17480	17508	14
17481	17405	6
17481	17410	6
17481	17412	7
17481	17413	7
17481	17414	7
17481	17415	7
17481	17437	13
17481	17438	14
17481	17439	14
17481	17449	14
17481	17475	3
17481	17477	3
17481	17478	3
17481	17479	3
17481	17480	2
17481	17502	9
17481	17503	10
17481	17505	14
17481	17508	14
17502	17405	9
17502	17410	9
17502	17412	9
17502	17413	9
17502	17414	8
17502	17415	8
17502	17437	6
17502	17438	7
17502	17439	7
17502	17449	7
17502	17475	10
17502	17477	10
17502	17478	10
17502	17479	10
17502	17480	9
17502	17481	9
17502	17503	3
17502	17505	7
17502	17508	7
17503	17405	10
